"id";"hostSrc";"hostDest";"portSrc";"portDest";"protocol"
1409;"131.243.160.251";"128.3.255.24";443;1255;"TCP"
1410;"131.243.160.251";"128.3.255.24";443;1257;"TCP"
1411;"128.3.255.189";"128.3.161.46";3966;3396;"TCP"
1412;"131.243.160.251";"128.3.255.24";443;1259;"TCP"
1413;"59.69.237.47";"128.3.255.49";80;3693;"TCP"
1414;"59.69.237.47";"128.3.255.49";80;3692;"TCP"
1415;"59.69.237.47";"128.3.255.49";80;3690;"TCP"
1416;"59.69.237.47";"128.3.255.49";80;3697;"TCP"
1417;"59.69.237.47";"128.3.255.49";80;3696;"TCP"
1418;"59.69.237.47";"128.3.255.49";80;3695;"TCP"
1419;"59.69.237.47";"128.3.255.49";80;3694;"TCP"
1420;"59.69.237.47";"128.3.255.49";80;3699;"TCP"
1421;"59.69.237.47";"128.3.255.49";80;3698;"TCP"
1422;"128.3.255.21";"207.235.214.169";4464;80;"TCP"
1423;"131.243.141.124";"128.3.255.229";2712;161;"UDP"
1424;"128.3.255.34";"131.243.160.69";3457;443;"TCP"
1425;"128.3.161.177";"128.3.255.241";1410;161;"UDP"
1426;"128.3.255.98";"131.243.141.187";1054;524;"TCP"
1427;"128.3.204.42";"128.3.255.131";1040;38293;"UDP"
1428;"128.3.194.232";"239.255.255.253";62847;427;"UDP"
1429;"128.3.255.35";"192.146.84.231";3189;80;"TCP"
1430;"131.243.100.76";"239.255.255.253";49449;427;"UDP"
1431;"131.243.140.86";"128.3.255.186";524;1095;"TCP"
1432;"128.3.255.139";"204.116.36.227";1073;80;"TCP"
1433;"204.52.78.119";"128.3.255.49";80;3540;"TCP"
1434;"131.243.61.70";"239.255.255.253";51659;427;"UDP"
1435;"128.3.161.177";"128.3.255.90";1720;161;"UDP"
1436;"128.3.255.149";"128.3.161.5";1147;3396;"TCP"
1437;"128.3.255.90";"128.3.161.22";515;951;"TCP"
1438;"128.3.255.189";"128.3.161.46";3951;3396;"TCP"
1439;"131.243.88.252";"239.255.255.253";49935;427;"UDP"
1440;"128.3.161.177";"128.3.255.90";1699;161;"UDP"
1441;"128.3.255.49";"59.69.237.47";3689;80;"TCP"
1442;"128.3.255.21";"128.3.161.230";3006;524;"TCP"
1443;"128.3.161.46";"128.3.255.153";4852;161;"UDP"
1444;"204.119.192.249";"128.3.255.28";80;1930;"TCP"
1445;"128.3.255.172";"56.81.30.25";2059;80;"TCP"
1446;"128.3.255.202";"131.243.140.105";1051;524;"TCP"
1447;"128.3.255.139";"204.116.36.227";1075;80;"TCP"
1448;"131.243.219.216";"128.3.255.211";137;137;"UDP"
1449;"128.3.255.28";"204.119.192.249";1925;80;"TCP"
1450;"128.55.187.48";"128.3.255.154";11001;11001;"UDP"
1451;"128.3.161.177";"128.3.255.90";1611;161;"UDP"
1452;"118.181.16.7";"128.3.255.42";554;3417;"TCP"
1453;"131.243.94.195";"239.255.255.253";64359;427;"UDP"
1454;"128.3.255.21";"131.243.141.187";3011;524;"TCP"
1455;"128.3.161.177";"128.3.255.90";1582;161;"UDP"
1456;"128.3.255.172";"144.201.74.44";2087;80;"TCP"
1457;"131.243.140.105";"128.3.255.84";524;3016;"TCP"
1458;"128.3.161.22";"128.3.255.241";866;515;"TCP"
1459;"128.3.255.49";"59.69.237.47";3641;80;"TCP"
1460;"128.3.255.147";"131.243.145.82";427;49366;"UDP"
1461;"128.3.255.35";"56.173.106.167";3182;80;"TCP"
1462;"128.3.161.182";"128.3.255.63";139;4636;"TCP"
1463;"131.243.141.140";"224.0.1.22";1039;427;"UDP"
1464;"131.243.13.183";"239.255.255.253";49353;427;"UDP"
1465;"128.3.255.49";"59.69.237.47";3839;80;"TCP"
1466;"128.3.211.224";"239.255.255.253";49216;427;"UDP"
1467;"128.3.255.189";"128.3.161.5";3913;3396;"TCP"
1468;"205.0.3.110";"128.3.255.49";80;3651;"TCP"
1469;"128.3.255.189";"128.3.161.5";3912;3396;"TCP"
1470;"131.243.142.214";"128.3.255.84";524;3019;"TCP"
1471;"128.3.194.88";"239.255.255.253";64288;427;"UDP"
1472;"128.3.255.49";"59.69.237.47";3809;80;"TCP"
1473;"128.3.161.62";"128.3.255.224";1056;2967;"UDP"
1474;"131.243.103.106";"239.255.255.253";56007;427;"UDP"
1475;"128.3.161.177";"128.3.255.229";4892;161;"UDP"
1476;"131.243.13.73";"239.255.255.253";49199;427;"UDP"
1477;"128.3.161.165";"128.3.255.99";524;3008;"TCP"
1478;"128.3.255.49";"59.69.237.47";3753;80;"TCP"
1479;"128.3.255.49";"59.69.237.47";3859;80;"TCP"
1480;"128.3.255.174";"128.3.19.124";27000;3075;"TCP"
1481;"128.3.255.229";"131.243.141.124";161;2711;"UDP"
1482;"128.3.255.49";"59.69.237.47";3786;80;"TCP"
1483;"128.3.255.229";"131.243.141.124";161;2717;"UDP"
1484;"128.3.255.49";"118.176.235.30";3628;80;"TCP"
1485;"128.3.255.229";"131.243.141.124";161;2715;"UDP"
1486;"128.3.255.229";"131.243.141.124";161;2714;"UDP"
1487;"128.3.161.46";"128.3.255.153";4854;161;"UDP"
1488;"128.3.255.49";"59.69.237.47";3494;80;"TCP"
1489;"128.3.161.252";"128.3.255.66";1021;515;"TCP"
1490;"128.3.255.34";"131.243.160.69";3451;443;"TCP"
1491;"128.3.161.177";"128.3.255.229";4876;161;"UDP"
1492;"128.3.161.223";"128.3.255.24";139;1260;"TCP"
1493;"128.3.255.24";"128.3.161.223";1241;139;"TCP"
1494;"128.3.255.49";"59.69.252.250";3885;80;"TCP"
1495;"131.243.61.70";"239.255.255.253";51658;427;"UDP"
1496;"128.3.7.12";"239.255.255.253";49746;427;"UDP"
1497;"131.243.90.44";"239.255.255.253";49176;427;"UDP"
1498;"131.243.86.124";"239.255.255.253";49181;427;"UDP"
1499;"131.243.103.106";"239.255.255.253";56006;427;"UDP"
1500;"131.243.141.187";"128.3.255.46";524;1037;"TCP"
1501;"131.243.61.70";"239.255.255.253";51647;427;"UDP"
1502;"128.3.161.252";"128.3.255.66";736;515;"TCP"
1503;"128.3.161.22";"128.3.255.66";834;515;"TCP"
1504;"131.243.106.81";"239.255.255.253";49531;427;"UDP"
1505;"128.3.255.227";"131.243.140.86";1104;524;"TCP"
1506;"128.3.161.46";"128.3.255.189";3396;3986;"TCP"
1507;"131.243.88.159";"239.255.255.253";61812;427;"UDP"
1508;"128.3.255.171";"128.3.164.194";3030;993;"TCP"
1509;"128.3.255.172";"221.58.33.174";2100;80;"TCP"
1510;"131.243.219.194";"239.255.255.253";55611;427;"UDP"
1511;"128.3.255.67";"165.34.140.205";2356;80;"TCP"
1512;"128.3.161.62";"128.3.255.21";1056;2967;"UDP"
1513;"131.243.235.220";"224.0.1.22";1025;427;"UDP"
1514;"128.3.161.46";"128.3.255.189";3396;3856;"TCP"
1515;"128.3.161.177";"128.3.255.90";1725;161;"UDP"
1516;"128.3.161.46";"128.3.255.189";3396;3851;"TCP"
1517;"128.3.161.177";"128.3.255.241";1417;161;"UDP"
1518;"128.3.255.189";"128.3.161.177";3894;3396;"TCP"
1519;"128.3.255.49";"208.235.59.212";3892;80;"TCP"
